image_number,x,y,z,roll,pith,yaw,j1,j2,j3,j4,j5,j6,j7
106,-0.566864,-0.103291,0.123951,8.630805,-2.67382,-129.152721,-0.282373,0.640545,-0.181166,-1.599019,-0.059298,0.935967,0.497213
107,-0.566267,-0.103074,0.123696,8.672411,-2.59356,-129.140811,-0.282384,0.640545,-0.18119,-1.599942,-0.059286,0.936639,0.497213
108,-0.565752,-0.102913,0.123374,8.700201,-2.54048,-129.132565,-0.282408,0.640557,-0.181226,-1.600973,-0.059286,0.936651,0.497213
109,-0.565075,-0.102703,0.122979,8.735915,-2.474166,-129.121162,-0.282408,0.640521,-0.18131,-1.602339,-0.059286,0.936651,0.497225
110,-0.564358,-0.102427,0.122518,8.77351,-2.397771,-129.116529,-0.28242,0.640533,-0.181286,-1.603813,-0.059298,0.936651,0.497189
111,-0.563705,-0.102182,0.12211,8.807288,-2.330226,-129.108227,-0.282408,0.640533,-0.18131,-1.605155,-0.059286,0.936639,0.497201
112,-0.563034,-0.101915,0.121695,8.840796,-2.260055,-129.100467,-0.282408,0.640509,-0.181298,-1.606558,-0.059274,0.936627,0.497213
113,-0.562432,-0.101703,0.121333,8.871827,-2.197073,-129.091569,-0.282432,0.640497,-0.18131,-1.60778,-0.059262,0.936651,0.497213
114,-0.562066,-0.101585,0.121099,8.890691,-2.158353,-129.085502,-0.28248,0.640509,-0.181298,-1.608523,-0.059262,0.936651,0.497213
115,-0.561886,-0.101501,0.120984,8.90079,-2.139449,-129.087038,-0.282456,0.640509,-0.181286,-1.608894,-0.059286,0.936651,0.497201
116,-0.561779,-0.101435,0.120911,8.905669,-2.127487,-129.086667,-0.282432,0.640509,-0.181274,-1.609134,-0.059274,0.936639,0.497213
117,-0.561767,-0.101453,0.120894,8.906794,-2.126471,-129.085494,-0.282456,0.640533,-0.181286,-1.609146,-0.059274,0.936627,0.497201
118,-0.56172,-0.101401,0.120838,8.909374,-2.118232,-129.088491,-0.282444,0.640569,-0.181238,-1.609254,-0.059274,0.936627,0.497189
119,-0.561725,-0.101375,0.120839,8.908299,-2.117377,-129.091393,-0.282432,0.640557,-0.181202,-1.609266,-0.059274,0.936627,0.497177
120,-0.561722,-0.10137,0.120814,8.91005,-2.115099,-129.092401,-0.282432,0.640605,-0.18119,-1.609254,-0.059286,0.936639,0.497177
121,-0.561676,-0.101362,0.120712,8.916391,-2.106039,-129.092572,-0.282432,0.64076,-0.181202,-1.609302,-0.059286,0.936627,0.497165
122,-0.561595,-0.101309,0.120576,8.924017,-2.089916,-129.093158,-0.282432,0.640928,-0.181166,-1.609434,-0.059274,0.936639,0.497165
123,-0.561479,-0.101194,0.120307,8.937023,-2.061859,-129.101694,-0.282408,0.641288,-0.181058,-1.609625,-0.059274,0.936615,0.497117
124,-0.561406,-0.101078,0.119996,8.950738,-2.030712,-129.112337,-0.28242,0.641779,-0.180878,-1.609697,-0.059286,0.936627,0.49707
125,-0.561369,-0.100893,0.119602,8.964356,-1.992022,-129.134631,-0.282408,0.642438,-0.180578,-1.609709,-0.059286,0.936627,0.496938
126,-0.561379,-0.100592,0.119149,8.973446,-1.945107,-129.162822,-0.28242,0.643181,-0.180027,-1.609709,-0.059286,0.936639,0.496878
127,-0.561469,-0.10019,0.118719,8.973882,-1.899576,-129.19706,-0.28242,0.643888,-0.179272,-1.609661,-0.059286,0.936639,0.49689
128,-0.561546,-0.099757,0.118301,8.971788,-1.85367,-129.235226,-0.28242,0.644523,-0.178469,-1.609697,-0.059286,0.936603,0.496866
129,-0.561664,-0.099369,0.117984,8.965056,-1.818959,-129.269957,-0.282408,0.645027,-0.177738,-1.609661,-0.059274,0.936567,0.496854
130,-0.561909,-0.098936,0.11769,8.947138,-1.793405,-129.315493,-0.282408,0.64553,-0.176827,-1.609494,-0.059274,0.936411,0.496818
131,-0.561978,-0.098843,0.11766,8.940371,-1.79198,-129.325343,-0.282408,0.645578,-0.176624,-1.609458,-0.059274,0.936351,0.496818
132,-0.562025,-0.098725,0.117631,8.935004,-1.783403,-129.344685,-0.28242,0.645614,-0.176372,-1.609446,-0.059274,0.936375,0.496662
133,-0.562012,-0.098702,0.117602,8.935593,-1.767666,-129.436274,-0.282396,0.645674,-0.176276,-1.609434,-0.059274,0.936339,0.495152
134,-0.561958,-0.098848,0.117621,8.936927,-1.744426,-129.66306,-0.28242,0.645686,-0.1763,-1.609398,-0.059274,0.936123,0.491137
135,-0.561918,-0.09917,0.117716,8.939162,-1.700489,-130.109684,-0.28248,0.645734,-0.176348,-1.60911,-0.059274,0.93586,0.483216
136,-0.561794,-0.099508,0.117793,8.952862,-1.62451,-130.671151,-0.282516,0.64589,-0.176384,-1.608751,-0.059286,0.935848,0.473281
137,-0.561601,-0.099819,0.117831,8.969517,-1.535163,-131.267923,-0.282528,0.646057,-0.176408,-1.608511,-0.059286,0.935848,0.462735
138,-0.561298,-0.100217,0.117791,8.993422,-1.429373,-131.889887,-0.28266,0.646321,-0.176492,-1.608379,-0.059274,0.935872,0.451553
139,-0.561009,-0.100538,0.11767,9.01404,-1.346302,-132.316516,-0.282876,0.646597,-0.17654,-1.608415,-0.059274,0.935848,0.443764
140,-0.560847,-0.100711,0.117527,9.027947,-1.29054,-132.560043,-0.283032,0.646908,-0.176516,-1.608391,-0.059262,0.935872,0.439318
141,-0.560845,-0.100643,0.117373,9.024671,-1.269329,-132.56084,-0.28302,0.64722,-0.176516,-1.608403,-0.058963,0.93586,0.439126
142,-0.560978,-0.100484,0.117296,8.996251,-1.247135,-132.532902,-0.28302,0.647496,-0.17648,-1.608355,-0.05816,0.935848,0.439138
143,-0.5612,-0.100256,0.117313,8.947471,-1.224372,-132.486943,-0.283008,0.647675,-0.176456,-1.608295,-0.056937,0.935848,0.439198
144,-0.561355,-0.100179,0.117369,8.923026,-1.222237,-132.462831,-0.283008,0.647723,-0.176444,-1.608163,-0.05641,0.935848,0.439306
145,-0.56148,-0.100218,0.117442,8.918142,-1.237951,-132.447085,-0.282996,0.647723,-0.176456,-1.607912,-0.056422,0.93586,0.439617
146,-0.56157,-0.100257,0.117503,8.913653,-1.248587,-132.443323,-0.283008,0.647711,-0.176456,-1.607732,-0.056422,0.93586,0.439689
147,-0.561569,-0.100207,0.117465,8.913901,-1.244844,-132.446857,-0.282972,0.647759,-0.176408,-1.607756,-0.056422,0.935848,0.439701
148,-0.561602,-0.100159,0.117481,8.911036,-1.244838,-132.451178,-0.282936,0.647747,-0.176348,-1.60772,-0.05641,0.935872,0.439701
149,-0.561619,-0.100118,0.11748,8.9086,-1.243638,-132.453833,-0.282912,0.647747,-0.1763,-1.60772,-0.056386,0.935872,0.439701
150,-0.561605,-0.100062,0.11747,8.909572,-1.239483,-132.457857,-0.282852,0.647747,-0.176276,-1.607756,-0.056386,0.935908,0.439701
151,-0.561564,-0.100041,0.117468,8.913752,-1.229506,-132.456011,-0.282852,0.647759,-0.176276,-1.607768,-0.056374,0.936075,0.439701
152,-0.561565,-0.100038,0.117496,8.913445,-1.229271,-132.456734,-0.28284,0.647723,-0.176288,-1.607756,-0.056362,0.936123,0.439677
153,-0.561514,-0.100018,0.117507,8.919111,-1.219499,-132.453572,-0.282828,0.647711,-0.1763,-1.607768,-0.056374,0.936327,0.439713
154,-0.56149,-0.100029,0.117507,8.9212,-1.215912,-132.451789,-0.282852,0.647711,-0.176312,-1.60778,-0.056374,0.936387,0.439701
155,-0.561491,-0.100022,0.117505,8.92184,-1.214938,-132.451,-0.28284,0.647723,-0.176312,-1.607768,-0.056374,0.936411,0.439725
156,-0.561498,-0.100029,0.117514,8.921385,-1.214689,-132.450494,-0.282852,0.647723,-0.176312,-1.607744,-0.056362,0.936435,0.439713
157,-0.561469,-0.100031,0.117525,8.923674,-1.211249,-132.449365,-0.282852,0.647699,-0.176336,-1.607768,-0.056362,0.936507,0.439701
158,-0.561473,-0.100031,0.117527,8.924397,-1.211118,-132.448104,-0.28284,0.647711,-0.176348,-1.607744,-0.056362,0.936531,0.439725
159,-0.561481,-0.100027,0.117529,8.922189,-1.209966,-132.447852,-0.282864,0.647711,-0.176324,-1.607744,-0.056326,0.936531,0.439701
160,-0.561513,-0.099947,0.117549,8.913224,-1.205168,-132.440582,-0.282804,0.647699,-0.176324,-1.607768,-0.056098,0.936555,0.439737
161,-0.561579,-0.099906,0.117572,8.899891,-1.201361,-132.429389,-0.282816,0.647723,-0.176324,-1.607732,-0.055787,0.936555,0.439725
162,-0.561677,-0.099815,0.117632,8.870918,-1.191144,-132.400791,-0.28284,0.647711,-0.176372,-1.607768,-0.055068,0.936543,0.439701
163,-0.561935,-0.099487,0.117814,8.794183,-1.145972,-132.315624,-0.28284,0.647735,-0.176504,-1.60778,-0.05297,0.936854,0.439701
164,-0.562184,-0.099266,0.118005,8.724021,-1.115665,-132.235195,-0.282852,0.647723,-0.17672,-1.607768,-0.051089,0.937022,0.439701
165,-0.562264,-0.099279,0.118082,8.69722,-1.108928,-132.190899,-0.282888,0.647735,-0.176983,-1.607768,-0.050274,0.93701,0.439713
166,-0.562234,-0.09937,0.118098,8.70209,-1.112352,-132.18502,-0.2829,0.647735,-0.177139,-1.607744,-0.050286,0.937022,0.439689
167,-0.562167,-0.099335,0.118054,8.706682,-1.103996,-132.184812,-0.282888,0.647747,-0.177127,-1.607864,-0.05031,0.937058,0.439713
168,-0.561928,-0.09924,0.117964,8.723743,-1.072434,-132.184818,-0.282864,0.647735,-0.177127,-1.608211,-0.05037,0.937346,0.439701
169,-0.561759,-0.099183,0.117852,8.733073,-1.051837,-132.182686,-0.282876,0.647771,-0.177127,-1.608523,-0.05037,0.937394,0.439689
170,-0.561842,-0.099209,0.117842,8.730993,-1.057697,-132.183911,-0.282876,0.647879,-0.177115,-1.608343,-0.05037,0.937358,0.439701
171,-0.562006,-0.099269,0.117951,8.722733,-1.074198,-132.185035,-0.282888,0.647867,-0.177103,-1.608008,-0.050358,0.937382,0.439701
172,-0.562138,-0.099333,0.118052,8.716157,-1.091505,-132.186439,-0.282876,0.647831,-0.177139,-1.607744,-0.050358,0.937358,0.439689
173,-0.562467,-0.099552,0.118295,8.703175,-1.132719,-132.18273,-0.282912,0.647807,-0.177259,-1.607001,-0.05037,0.937382,0.439701
174,-0.56264,-0.099632,0.118401,8.695759,-1.151046,-132.184192,-0.282924,0.647819,-0.177271,-1.606629,-0.05037,0.937394,0.439689
175,-0.562991,-0.099734,0.1186,8.679212,-1.187532,-132.191734,-0.2829,0.647831,-0.177235,-1.605934,-0.050382,0.93737,0.439689
176,-0.563254,-0.099825,0.118769,8.666917,-1.216894,-132.197557,-0.282888,0.647807,-0.177223,-1.605407,-0.050406,0.937358,0.439677
177,-0.563476,-0.099911,0.118891,8.656689,-1.239714,-132.201431,-0.2829,0.647831,-0.177211,-1.604952,-0.050406,0.937346,0.439653
178,-0.56374,-0.099979,0.119049,8.643739,-1.26486,-132.213247,-0.282888,0.647831,-0.177163,-1.604424,-0.050406,0.937358,0.439545
179,-0.564102,-0.100176,0.119288,8.629162,-1.308702,-132.219147,-0.282912,0.647819,-0.177211,-1.603645,-0.050466,0.937334,0.439497
180,-0.564219,-0.100217,0.119347,8.625401,-1.319362,-132.223616,-0.2829,0.647855,-0.177211,-1.603382,-0.050478,0.937358,0.439461
181,-0.564343,-0.100271,0.119405,8.62023,-1.333213,-132.226721,-0.282912,0.647879,-0.177199,-1.60313,-0.050502,0.937322,0.439449
182,-0.564485,-0.100313,0.119461,8.614642,-1.346038,-132.231787,-0.2829,0.647939,-0.177187,-1.60283,-0.050502,0.93731,0.439413
183,-0.564606,-0.100386,0.119444,8.612596,-1.355696,-132.237061,-0.282912,0.648119,-0.177211,-1.602543,-0.050502,0.937238,0.43933
184,-0.564682,-0.100486,0.11938,8.614648,-1.355094,-132.257612,-0.282996,0.64837,-0.177211,-1.602279,-0.050514,0.937214,0.438922
185,-0.564739,-0.100607,0.11923,8.621633,-1.338384,-132.341674,-0.283068,0.648826,-0.177211,-1.601944,-0.050502,0.93719,0.4374
